"","x"
"1",1440
"2",646
"3",483
"4",455
"5",429
"6",407
"7",390
"8",382
"9",376
"10",371
"11",369
"12",362
"13",358
"14",358
"15",358
"16",343
"17",341
"18",339
"19",338
"20",337
"21",335
"22",332
"23",330
"24",326
"25",320
"26",318
"27",318
"28",316
"29",314
"30",314
"31",314
"32",311
"33",307
"34",304
"35",303
"36",302
"37",301
"38",300
"39",299
"40",298
"41",297
"42",297
"43",297
"44",296
"45",296
"46",296
"47",296
"48",295
"49",295
"50",295
"51",295
"52",295
